recipe_id,recipe_code,product_id,ingredient_id,recipe_quantity,recipe_unit
1,RCP001,1,1,50,g
1,RCP001,1,2,50,g
1,RCP001,1,3,50,g
2,RCP002,2,4,125,g
2,RCP002,2,5,2,g
2,RCP002,2,6,50,g
2,RCP002,2,7,10,ml
3,RCP003,3,8,150,g
3,RCP003,3,9,15,g
3,RCP003,3,10,20,g
3,RCP003,3,11,2,g
4,RCP004,4,12,6,u
4,RCP004,4,13,10,g
4,RCP004,4,14,2,g
4,RCP004,4,15,2,g
5,RCP005,5,16,200,g
5,RCP005,5,6,50,g
5,RCP005,5,17,80,g
5,RCP005,5,18,2,g
6,RCP006,6,16,200,g
6,RCP006,6,6,50,g
6,RCP006,6,17,80,g
6,RCP006,6,19,40,g
7,RCP007,7,16,200,g
7,RCP007,7,17,80,g
7,RCP007,7,5,2,g
7,RCP007,7,20,40,g
8,RCP008,8,16,200,g
8,RCP008,8,21,40,g
8,RCP008,8,17,60,g
8,RCP008,8,22,30,g
8,RCP008,8,23,30,g
9,RCP009,9,24,150,g
9,RCP009,9,25,150,g
9,RCP009,9,26,2,g
9,RCP009,9,27,20,ml
10,RCP010,10,24,1000,g
10,RCP010,10,25,150,g
10,RCP010,10,28,2,g
10,RCP010,10,29,2,g
11,RCP011,11,30,150,g
11,RCP011,11,31,15,g
11,RCP011,11,32,150,g
12,RCP012,12,33,100,g
12,RCP012,12,34,500,g
12,RCP012,12,14,2,g
12,RCP012,12,35,30,ml
13,RCP013,13,36,80,g
13,RCP013,13,37,80,g
13,RCP013,13,38,30,g
14,RCP014,14,39,150,g
14,RCP014,14,40,100,ml
14,RCP014,14,41,5,g
14,RCP014,14,36,80,g
15,RCP015,15,42,150,g
15,RCP015,15,43,5,g
15,RCP015,15,25,150,g
16,RCP016,16,44,50,g
16,RCP016,16,13,10,g
16,RCP016,16,45,1,u
16,RCP016,16,16,15,g
16,RCP016,16,46,20,g
17,RCP017,17,47,1,u
17,RCP017,17,27,20,ml
17,RCP017,17,48,100,g
18,RCP018,18,49,80,g
18,RCP018,18,31,15,g
18,RCP018,18,46,10,g
19,RCP019,19,50,100,g
19,RCP019,19,51,10,g
20,RCP020,20,52,125,ml
21,RCP021,21,53,125,ml
22,RCP022,22,54,125,ml
23,RCP023,23,55,125,ml
24,RCP024,24,56,125,ml
25,RCP025,25,52,750,ml
26,RCP026,26,53,750,ml
27,RCP027,27,54,750,ml
28,RCP028,28,55,750,ml
29,RCP029,29,56,750,ml
30,RCP030,30,57,7,g
31,RCP031,31,58,100,ml
31,RCP031,31,59,30,ml
32,RCP032,32,60,100,g
32,RCP032,32,61,5,g
33,RCP033,33,62,40,ml
34,RCP034,34,63,2,g
